step,body,x,y,z
0,0,7.757473618470430e-09,-8.227236178771411e-06,-1.758299719494871e-07
0,1,3.059261137388452e-01,3.380967986651964e-02,4.151417473190011e-03
0,2,7.181727913417906e-01,2.032970159380751e-02,1.204188290428655e-03
0,3,9.830844790848616e-01,1.749393924080766e-02,0.000000000000000e+00
0,4,9.847978325824500e-01,1.753552272134044e-02,6.214420146288885e-04
0,5,1.381091835618585e+00,1.523919051858537e-02,4.920711863046589e-04
0,6,4.950064419752347e+00,8.499778930570030e-03,1.801950823087484e-04
0,7,9.074686181206202e+00,5.856340175034322e-03,0.000000000000000e+00
0,8,1.826694404600546e+01,4.117919669427486e-03,0.000000000000000e+00
0,9,2.988712308699738e+01,3.159189423810428e-03,0.000000000000000e+00
1,0,3.102485394090855e-08,-1.645433806386282e-05,-3.516501535060453e-07
1,1,3.012572610467126e-01,6.727623711637010e-02,8.260712105868057e-03
1,2,7.173131278427765e-01,4.064317451018438e-02,2.407415507242168e-03
1,3,9.826300878101180e-01,3.498250484676765e-02,1.121277000787419e-06
1,4,9.839584831171557e-01,3.505951224335074e-02,1.151529704423924e-03
1,5,1.380859179832897e+00,3.047666853450619e-02,9.840870791511338e-04
1,6,4.950046311686751e+00,1.699953710065279e-02,3.603897243462898e-04
1,7,9.074680766273620e+00,1.171267803839122e-02,6.577015582995195e-13
1,8,1.826694271199840e+01,8.235839139241656e-03,1.322543023409350e-14
1,9,2.988712258893454e+01,6.318378812642109e-03,1.378779370327117e-15
2,0,6.978723123577500e-08,-2.468117304931837e-05,-5.274509585306538e-07
2,1,2.935606638897142e-01,1.000664733369986e-01,1.228697938552373e-02
2,2,7.158811357251960e-01,6.092420395148872e-02,3.608721399215961e-03
2,3,9.818724764985304e-01,5.246032991166055e-02,4.553080122826899e-06
2,4,9.825971261700127e-01,5.256005035764375e-02,1.493381982223034e-03
2,5,1.380471456746237e+00,4.571072188641224e-02,1.475992396119043e-03
2,6,4.950016131657585e+00,2.549925374990729e-02,5.405834858445018e-04
2,7,9.074671741388853e+00,1.756901127839422e-02,2.630785747531992e-12
2,8,1.826694048865339e+01,1.235375820982920e-02,5.290136643093531e-14
2,9,2.988712175882980e+01,9.477568131516300e-03,5.515080422332017e-15
3,0,1.240204391033526e-07,-3.290761177964423e-05,-7.032231940613152e-07
3,1,2.829592433068465e-01,1.318662858912391e-01,1.619165905983353e-02
3,2,7.138779847972342e-01,8.115660286480310e-02,4.807147359031288e-03
3,3,9.808109678185195e-01,6.992205619013822e-02,1.154925111898671e-05
3,4,9.807894872585686e-01,7.002483863868129e-02,1.544865489969999e-03
3,5,1.379928721181064e+00,6.093963909543123e-02,1.967731876859417e-03
3,6,4.949973879785089e+00,3.399890811828515e-02,7.207759265414318e-04
3,7,9.074659106556208e+00,2.342533758336879e-02,6.576892755282902e-12
3,8,1.826693737597056e+01,1.647167668157681e-02,1.322521797742677e-13
3,9,2.988712059668319e+01,1.263675734545425e-02,1.378757193747653e-14
